Rank,Tier,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
354,12,,Chandler Catanzaro,NYJ,K29,4,213,341,309.4,22.2,330,-24
355,12,,Josh Oliver,JAC,TE45,10,183,398,298.1,56.6,359,4
356,12,,Benjamin Watson,NE,TE46,10,153,329,271.8,32.4,254,-102
357,12,,C.J. Uzomah,CIN,TE47,9,154,372,292.5,45,344,-13
358,12,,Myles Gaskin,MIA,RB96,5,283,390,333.8,24.5,358,0
359,12,,Jay Ajayi,FA,RB97,,110,365,278.5,53.5,255,-104
360,12,,Jalen Hurd,SF,WR121,4,114,368,299,37.3,377,17
361,12,,Trayveon Williams,CIN,RB98,9,231,407,329.8,40.4,299,-62
362,12,,Alfred Morris,DAL,RB99,8,187,535,287.3,81.1,232,-130
363,12,,Tyler Higbee,LAR,TE48,9,209,361,301.4,39.7,365,2
364,12,,Tim Patrick,DEN,WR122,10,207,379,316.9,46.6,472,108
365,12,,Dawson Knox,BUF,TE49,6,157,395,306.4,43.3,372,7
366,12,,Jesse James,DET,TE50,5,189,361,290.4,46.7,273,-93
367,12,,Michael Crabtree,FA,WR123,,210,367,266.4,37.6,370,3
368,12,,Zach Zenner,DET,RB100,5,205,387,330.4,26.2,419,51
369,12,,Jaron Brown,SEA,WR124,11,194,388,305.9,43.7,416,47
370,12,,Chester Rogers,IND,WR125,6,222,396,309.4,34.7,437,67
371,12,,Dontrelle Inman,NE,WR126,10,156,391,310.4,44.7,851,480
372,12,,Adam Shaheen,CHI,TE51,6,179,364,312.2,40.6,465,93
373,12,,Brian Hill,ATL,RB101,9,171,473,296.3,76.1,351,-22
374,12,,Kelvin Harmon,WAS,WR127,10,226,393,314.8,38,313,-61
375,12,,Jeff Wilson,SF,RB102,4,255,515,333.6,53.3,487,112
376,12,,Andre Ellington,TB,RB103,7,248,396,304.1,43.7,"1,019.00",643
377,12,,Ryan Switzer,PIT,WR128,7,218,378,298.5,42.3,425,48
378,12,,Gary Jennings,SEA,WR129,11,176,377,318.6,50.1,469,91
379,12,,Jakobi Meyers,NE,WR130,10,112,687,308.3,123.3,290,-89
380,12,,Austin Seferian-Jenkins,FA,TE52,,242,358,276.5,31.4,615,235
381,12,,Laquon Treadwell,MIN,WR131,12,270,393,322,33.2,426,45
382,12,,Drew Lock,DEN,QB37,10,241,418,330.3,41,336,-46
383,12,,Ameer Abdullah,MIN,RB104,12,304,512,344.5,48.7,459,76
384,12,,Jakeem Grant,MIA,WR132,5,204,362,297.3,53.3,"1,017.00",633
385,12,,Darren Sproles,PHI,RB105,10,219,430,310.3,62.4,286,-99
386,12,,Luke Willson,OAK,TE53,6,191,359,310.4,31,694,308
387,12,,Kahale Warring,HOU,TE54,10,232,364,321.3,29,409,22
388,12,,Dontrell Hilliard,CLE,RB106,7,226,381,289.8,52.8,388,0
389,12,,Trenton Cannon,NYJ,RB107,4,248,415,343.1,26.1,417,28
390,12,,Bryce Love,WAS,RB108,10,230,391,328.6,42.6,316,-74
391,12,,Mark Walton,MIA,RB109,5,263,349,322.5,24.6,"1,023.00",632
392,12,,Chad Beebe,MIN,WR133,12,208,382,276.4,55.8,467,75
393,12,,Damarea Crockett,HOU,RB110,10,180,425,322.9,64.4,464,71
394,12,,Riley Ridley,CHI,WR134,6,245,384,332.7,29.2,287,-107
395,12,,Jordan Scarlett,CAR,RB111,7,195,456,342.4,45.6,374,-21
396,12,,Rodney Anderson,CIN,RB112,9,272,496,345.4,50,321,-75
397,12,,Allen Hurns,MIA,WR135,5,175,390,329.8,30.8,625,228
398,12,,Cody Latimer,NYG,WR136,11,223,328,276.3,38.8,"1,014.00",616
399,12,,Cincinnati (CIN),,DST31,9,255,353,324.7,14.8,339,-60
400,12,,Blake Bortles,LAR,QB38,9,261,462,344,53.8,433,33
401,12,,Mike Boone,MIN,RB113,12,274,409,337.5,36.4,"1,016.00",615
402,12,,Taysom Hill,NO,QB39,9,258,466,350.5,52.6,379,-23
403,12,,Preston Williams,MIA,WR137,5,242,370,306,44.9,385,-18
404,12,,Jordan Matthews,SF,WR138,4,250,483,326.4,63.5,446,42
405,12,,Rishard Matthews,NO,WR139,9,199,411,309.3,55.2,755,350
406,12,,Darrel Williams,KC,RB114,12,200,402,336.8,49.3,441,35
407,12,,Randy Bullock,CIN,K30,9,308,354,327.1,15.3,395,-12
408,12,,Cody Parkey,FA,K31,,225,319,297.9,14.3,369,-39
409,12,,Darius Slayton,NYG,WR140,11,243,389,331.3,49.8,452,43
410,12,,Travis Homer,SEA,RB115,11,182,403,322,59.8,493,83
411,13,,Tyler Kroft,BUF,TE55,6,242,373,323,45.5,410,-1
412,13,,Marcus Murphy,BUF,RB116,6,316,457,350.4,37.7,827,415
413,13,,Dez Bryant,FA,WR141,,242,347,287,34.7,317,-96
414,13,,Alex Erickson,CIN,WR142,9,301,370,340.7,18.4,681,267
415,13,,Torrey Smith,CAR,WR143,7,248,366,328.6,30.4,513,98
416,13,,Ty Johnson,DET,RB117,5,231,418,314.9,64.2,412,-4
417,13,,Alex Collins,FA,RB118,,187,332,298.3,36.8,400,-17
418,13,,Karan Higdon,HOU,RB119,10,227,649,361.3,114.9,497,79
419,13,,Jarius Wright,CAR,WR144,7,251,376,321.6,36.4,439,20
420,13,,Jeff Heuerman,DEN,TE56,10,192,374,322,57.1,428,8
421,13,,Kevin White,ARI,WR145,12,213,397,322.9,47.1,594,173
422,13,,Jason Croom,BUF,TE57,6,232,391,303.7,51.6,669,247
423,13,,Chris Moore,BAL,WR146,8,172,313,275.6,23.4,348,-75
424,13,,Pierre Garcon,FA,WR147,,257,302,277,19.7,504,80
425,13,,Zane Gonzalez,ARI,K32,12,301,339,326.6,8.6,346,-79
426,13,,Foster Moreau,OAK,TE58,6,173,392,286.8,72.8,495,69
427,13,,Jordan Akins,HOU,TE59,10,215,380,314.3,44.2,519,92
428,13,,Javorius Allen,FA,RB120,,264,388,319.7,38.6,423,-5
429,13,,Demetrius Harris,CLE,TE60,7,269,375,322,32.3,440,11
430,13,,Rhett Ellison,NYG,TE61,11,281,387,323.2,42.5,717,287
431,13,,Tajae Sharpe,TEN,WR148,11,252,408,323.8,50.6,450,19
432,13,,Chad Williams,ARI,WR149,12,278,397,325,40,737,305
433,13,,Oakland (OAK),,DST32,6,299,355,332.2,14.5,296,-137
434,13,,Scott Miller,TB,WR150,7,260,391,353.4,36.8,,
435,13,,Kyle Juszczyk,SF,RB121,4,238,385,320,57.7,429,-6
436,13,,Mo Alie-Cox,IND,TE62,6,267,406,341.2,40.6,442,6
437,13,,LeGarrette Blount,FA,RB122,,305,337,321,12.8,408,-29
438,13,,J.J. Nelson,OAK,WR151,6,285,389,343,26.5,539,101
439,13,,Eli Rogers,PIT,WR152,7,288,401,343.7,33.6,565,126
440,13,,Nick Mullens,SF,QB40,4,260,620,375.2,121.2,456,16
441,13,,Jason Sanders,MIA,K33,5,316,340,327,8.7,402,-39
442,13,,James O'Shaughnessy,JAC,TE63,10,270,374,327.6,39.8,593,151
443,13,,Eddy Pineiro,CHI,K34,6,298,342,328.4,12.5,333,-110
444,13,,Josh Hill,NO,TE64,9,277,355,328.8,18.3,390,-54
445,13,,Seth Roberts,BAL,WR153,8,246,374,332.6,34,448,3
446,13,,Jacob Hollister,SEA,TE65,11,263,468,340.4,68.8,575,129
447,13,,Elijah Holyfield,CAR,RB123,7,257,578,365.8,115.3,340,-107
448,13,,DeAndre Carter,HOU,WR154,10,315,389,343.2,25.2,597,149
449,13,,Kelvin Benjamin,FA,WR155,,263,285,274.3,9,516,67
450,13,,Nick Boyle,BAL,TE66,8,247,367,318.5,46.2,523,73
451,13,,Mack Hollins,PHI,WR156,10,295,354,321.3,21.2,806,355
452,13,,Justin Hardy,ATL,WR157,9,279,372,346.8,23.3,544,92
453,13,,Xavier Grimble,PIT,TE67,7,264,381,323.3,50.5,551,98
454,13,,Marcell Ateman,OAK,WR158,6,304,370,348,13.8,584,130
455,13,,Blake Bell,KC,TE68,12,267,388,349.2,46.2,435,-20
456,13,,Jordan Taylor,MIN,WR159,12,272,367,326,35.7,853,397
457,13,,Tavon Austin,DAL,WR160,8,283,376,327,33.5,413,-44
458,13,,Alex Barnes,TEN,RB124,11,306,463,370.2,47.6,460,2
459,13,,Josh Ferguson,HOU,RB125,10,169,428,329.3,97.3,"1,021.00",562
460,13,,Virgil Green,LAC,TE69,12,291,350,330.8,23.4,510,50
461,13,,J.D. McKissic,SEA,RB126,11,238,626,390,128.1,"1,022.00",561
462,13,,Emanuel Hall,CHI,WR161,6,297,732,412.2,161.6,354,-108
463,13,,Russell Shepard,NYG,WR162,11,322,347,333.3,9,619,156
464,13,,Will Grier,CAR,QB41,7,242,420,356.6,60.6,396,-68
465,13,,Drew Sample,CIN,TE70,9,257,484,344.3,91.8,491,26
466,13,,Richie James,SF,WR163,4,253,384,336.3,49.6,588,122
467,13,,Benny Cunningham,JAC,RB127,10,261,352,301.3,37.9,"1,020.00",553
468,13,,Isaiah McKenzie,BUF,WR164,6,317,388,359.8,26.9,454,-14
469,13,,Jordan Lasley,OAK,WR165,6,268,760,417.5,199.4,560,91
470,13,,Garrett Celek,SF,TE71,4,239,379,342,59.5,634,164
471,13,,Matt Gay,TB,K35,7,295,315,308,9.2,301,-170
472,13,,Corey Grant,FA,RB128,,284,455,347,64.9,804,332
473,13,,Nick O'Leary,MIA,TE72,5,259,354,313,39.9,"1,006.00",533
474,13,,Teddy Bridgewater,NO,QB42,9,317,577,402.2,87.3,383,-91
475,13,,Raheem Mostert,SF,RB129,4,331,389,367.8,21.6,836,361
476,13,,Bennie Fowler,NYG,WR166,11,295,332,316.3,15.6,774,298
477,13,,Colt McCoy,WAS,QB43,10,262,426,317.7,76.6,527,50
478,13,,Luke Stocker,ATL,TE73,9,286,403,350,43.3,800,322
479,13,,Dan Arnold,NO,TE74,9,282,402,350.8,44.7,744,265
480,13,,Chris Ivory,FA,RB130,,307,330,321,10,485,5
481,13,,Devine Ozigbo,NO,RB131,9,314,738,425.3,180.6,418,-63
482,13,,Braxton Berrios,NE,WR167,10,236,412,325.7,71.9,602,120
483,13,,Austin Carr,NO,WR168,9,324,385,357.5,26.2,582,99
484,13,,Ryan Griffin,NYJ,TE75,4,223,622,387.3,170.3,555,71
485,13,,Trent Sherfield,ARI,WR169,12,289,399,330.7,48.7,629,144
486,13,,Trevon Wesco,NYJ,TE76,4,323,349,332,12,782,296
487,13,,Darius Jackson,DAL,RB132,8,309,487,371.5,72.6,324,-163
488,13,,Zach Pascal,IND,WR170,6,311,365,334,22.8,468,-20
489,13,,Ed Dickson,SEA,TE77,11,305,412,362.3,38.4,512,23
490,13,,C.J. Prosise,SEA,RB133,11,238,486,348,103.2,562,72
491,13,,Robert Griffin,BAL,QB44,8,337,434,380.4,40.7,397,-94
492,13,,Greg Dortch,NYJ,WR171,4,275,693,418.3,194.3,598,106
493,13,,Brandon Powell,DET,WR172,5,351,470,385.4,43,777,284
494,13,,Noah Brown,DAL,WR173,8,313,373,337,25.9,547,53
495,13,,Josh Bellamy,NYJ,WR174,4,329,348,338.7,7.8,470,-25
496,13,,Juwann Winfree,DEN,WR175,10,332,400,366.8,24.1,476,-20
497,13,,Andre Roberts,BUF,WR176,6,319,368,340.7,20.4,892,395
498,13,,DeAndre Washington,OAK,RB134,6,337,387,367.5,20.7,731,233
499,13,,Maxx Williams,ARI,TE78,12,288,383,345,41,592,93
500,13,,Cody Core,CIN,WR177,9,314,373,346.3,24.4,577,77
501,13,,Brice Butler,MIA,WR178,5,269,435,347.3,68.1,826,325
502,13,,Kenjon Barner,ATL,RB135,9,331,493,396.6,55.8,709,207
503,13,,Dwayne Washington,NO,RB136,9,355,392,373.5,13.1,877,374
504,13,,T.J. Logan,ARI,RB137,12,322,433,374.5,48.3,635,131
505,13,,Vyncint Smith,HOU,WR179,10,334,382,353,20.8,618,113
506,13,,Auden Tate,CIN,WR180,9,290,330,310,20,529,23
507,13,,Tyrod Taylor,LAC,QB45,12,320,475,386.5,66.7,484,-23
508,13,,Russell Gage,ATL,WR181,9,310,414,359,42.7,943,435
509,13,,Dalton Schultz,DAL,TE79,8,292,416,361,51.6,570,61
510,14,,Anthony Firkser,TEN,TE80,11,281,360,320.5,39.5,913,403
511,14,,Gregory Howell,HOU,RB138,10,257,679,440.3,176.7,873,362
512,14,,Lee Smith,BUF,TE81,6,293,449,365,64.2,698,186
513,14,,James Develin,NE,RB139,10,342,387,364.7,18.4,362,-151
514,14,,Josh Malone,CIN,WR182,9,300,547,399,106.6,784,270
515,14,,CJ Ham,MIN,RB140,12,353,382,367.3,11.8,486,-29
516,14,,Byron Pringle,KC,WR183,12,361,678,445.8,134.2,494,-22
517,14,,Damion Ratley,CLE,WR184,7,303,358,330.5,27.5,509,-8
518,14,,Chris Warren III,FA,RB141,,305,703,456.7,175.7,830,312
519,14,,Dwayne Allen,MIA,TE82,5,317,351,334,17,600,81
520,14,,Lance Kendricks,NE,TE83,10,227,580,403.5,176.5,557,37
521,14,,Detrez Newsome,LAC,RB142,12,308,410,375.3,47.6,680,159
522,14,,Paul Perkins,NYG,RB143,11,287,451,377.3,68,569,47
523,14,,Brett Hundley,ARI,QB46,12,319,441,380,49.8,"1,015.00",492
524,14,,Boston Scott,PHI,RB144,10,329,502,399,74.4,"1,024.00",500
525,14,,Elijhaa Penny,NYG,RB145,11,345,356,350.5,5.5,817,292
526,14,,Jacquizz Rodgers,NO,RB146,9,331,548,418.3,93.5,667,141
527,14,,Logan Paulsen,ATL,TE84,9,341,518,408.7,78,865,338
528,14,,Marvin Hall,CHI,WR185,6,343,452,387,46.9,716,188
529,14,,Zach Gentry,PIT,TE85,7,280,436,358,78,824,295
530,14,,John Ursua,SEA,WR186,11,327,394,360.5,33.5,630,100
531,14,,Travis Fulgham,DET,WR187,5,332,392,362,30,785,254
532,14,,Zach Line,NO,RB147,9,361,373,367,6,772,240
533,14,,Eric Tomlinson,NYJ,TE86,4,361,373,367,6,668,135
534,14,,Richard Rodgers,PHI,TE87,10,290,591,440.5,150.5,591,57
535,14,,Deontay Burnett,NYJ,WR188,4,337,408,372.5,35.5,719,184
536,14,,Caleb Wilson,ARI,TE88,12,301,763,532,231,901,365
537,14,,Emmanuel Butler,NO,WR189,9,315,648,481.5,166.5,483,-54
538,14,,Matt Schaub,ATL,QB47,9,333,608,458.7,113.5,673,135
539,14,,Ross Travis,IND,TE89,6,323,550,436.5,113.5,647,108
540,14,,Kaden Smith,SF,TE90,4,324,640,482,158,870,330
541,14,,Ishmael Hyman,CLE,WR190,7,324,673,498.5,174.5,,
542,14,,Jonathan Williams,IND,RB148,6,326,465,395.5,69.5,805,263
543,14,,Alize Mack,NO,TE91,9,329,509,419,90,608,65
544,14,,Isaac Nauta,DET,TE92,5,330,564,447,117,767,223
545,14,,Anthony Sherman,KC,RB149,12,386,396,391,5,475,-70
546,14,,Eric Saubert,ATL,TE93,9,335,602,468.5,133.5,933,387
547,14,,Charles Johnson,PHI,WR191,10,337,554,445.5,108.5,981,434
548,14,,Jacoby Brissett,IND,QB48,6,352,581,455,94.9,421,-127
549,14,,Aldrick Robinson,CAR,WR192,7,341,444,392.5,51.5,474,-75
550,14,,David Fluellen,TEN,RB150,11,393,399,396,3,628,78
551,14,,Logan Thomas,DET,TE94,5,394,401,397.5,3.5,868,317
552,14,,Mason Rudolph,PIT,QB49,7,352,634,476.7,117.4,471,-81
553,14,,Matt Barkley,BUF,QB50,6,351,517,434,83,545,-8
554,14,,Kelvin McKnight,DEN,WR193,10,352,734,543,191,944,390
555,14,,Fred Brown,DEN,WR194,10,355,726,540.5,185.5,,
556,14,,Keelan Doss,OAK,WR195,6,356,641,498.5,142.5,,
557,14,,Terry Godwin,CAR,WR196,7,356,739,547.5,191.5,750,193
558,14,,Darius Jennings,TEN,WR197,11,357,569,463,106,771,213
559,14,,Daurice Fountain,IND,WR198,6,357,690,523.5,166.5,922,363
560,14,,Dillon Mitchell,MIN,WR199,12,358,507,432.5,74.5,664,104
561,14,,Marcus Green,ATL,WR200,9,359,699,529,170,829,268
562,14,,Dwayne Harris,OAK,WR201,6,369,440,404.5,35.5,921,359
563,14,,Olabisi Johnson,MIN,WR202,12,363,538,450.5,87.5,891,328
564,14,,Ryan Finley,CIN,QB51,9,380,431,405.5,25.5,488,-76
565,14,,Chase Daniel,CHI,QB52,6,378,523,445,59.7,528,-37
566,14,,Levine Toilolo,SF,TE95,4,400,417,408.5,8.5,576,10
567,14,,Trinity Benson,DEN,WR203,10,370,709,539.5,169.5,,
568,14,,Olamide Zaccheaus,ATL,RB151,9,374,681,527.5,153.5,,
569,14,,Neal Sterling,FA,TE96,,374,769,571.5,197.5,583,14
570,14,,River Cracraft,DEN,WR204,10,378,735,556.5,178.5,754,184
571,14,,JoJo Natson,LAR,WR205,9,379,711,545,166,631,60
572,14,,Pharoh Cooper,ARI,WR206,12,380,650,515,135,652,80
573,14,,Anthony Johnson,TB,WR207,7,383,715,549,166,,
574,14,,Kenneth Farrow,MIA,RB152,5,386,636,511,125,808,234
575,14,,Drew Stanton,CLE,QB53,7,390,551,470.5,80.5,466,-109
576,15,,Samaje Perine,WAS,RB153,10,404,597,500.5,96.5,567,-9
577,15,,Durham Smythe,MIA,TE97,5,407,767,587,180,960,383
578,15,,Kerrith Whyte,CHI,RB154,6,410,614,512,102,,
579,15,,Keon Hatcher,OAK,WR208,6,413,664,538.5,125.5,980,401
580,15,,Devontae Jackson,DEN,RB155,10,413,751,582,169,,
581,15,,Tony Brooks-James,ATL,RB156,9,414,684,549,135,,
582,15,,Nate Sudfeld,PHI,QB54,10,428,593,510.5,82.5,"1,011.00",429
583,15,,DeShone Kizer,GB,QB55,11,429,638,533.5,104.5,432,-151
584,15,,C.J. Beathard,SF,QB56,4,436,529,482.5,46.5,481,-103
585,15,,Trevor Siemian,NYJ,QB57,4,437,562,499.5,62.5,517,-68
586,15,,AJ McCarron,HOU,QB58,10,439,579,509,70,809,223
587,15,,Chad Henne,KC,QB59,12,442,546,494,52,700,113
588,15,,Jeff Driskel,CIN,QB60,9,443,494,468.5,25.5,595,7
589,15,,Joshua Dobbs,PIT,QB61,7,445,685,565,120,447,-142
590,16,,Mike Glennon,OAK,QB62,6,446,627,536.5,90.5,653,63
