Rank,Tier,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
81,6,,Curtis Samuel,CAR,WR38,7,57,169,88,18.6,107,26
82,6,,Rashaad Penny,SEA,RB32,11,52,142,89.1,15.3,80,-2
83,6,,Cam Newton,CAR,QB7,7,54,150,85.7,16.2,92,9
84,6,,Jared Cook,NO,TE7,9,13,140,86.1,16.5,74,-10
85,6,,Russell Wilson,SEA,QB8,11,55,139,86.3,19.4,88,3
86,6,,Larry Fitzgerald,ARI,WR39,12,55,138,91.3,17.8,89,3
87,6,,Dede Westbrook,JAC,WR40,10,39,195,91.5,22.7,97,10
88,6,,Derrius Guice,WAS,RB33,10,52,158,91.8,17,71,-17
89,6,,Courtland Sutton,DEN,WR41,10,58,129,92.1,14.2,95,6
90,6,,Carson Wentz,PHI,QB9,10,54,157,89.2,20.4,90,0
91,6,,Eric Ebron,IND,TE8,6,63,162,92.4,21.5,75,-16
92,6,,David Njoku,CLE,TE9,7,53,161,93.2,18.3,87,-5
93,6,,Drew Brees,NO,QB10,9,21,150,95.4,19.6,84,-9
94,6,,Jared Goff,LAR,QB11,9,63,147,96.3,17.2,101,7
95,6,,Miles Sanders,PHI,RB34,10,45,280,96.7,35.8,82,-13
96,6,,Austin Ekeler,LAC,RB35,12,52,146,101.2,20.7,76,-20
97,6,,Royce Freeman,DEN,RB36,10,65,144,101.3,14.2,102,5
98,6,,Vance McDonald,PIT,TE10,7,69,153,96.9,20.4,91,-7
99,6,,Geronimo Allison,GB,WR42,11,59,169,107.5,20.7,118,19
100,6,,Jameis Winston,TB,QB12,7,61,204,103.4,19.9,116,16
101,6,,Kyler Murray,ARI,QB13,12,56,202,103.7,26.3,105,4
102,6,,Jordan Howard,PHI,RB37,10,57,190,106,23.5,94,-8
103,6,,Austin Hooper,ATL,TE11,9,63,186,108.8,21.1,108,5
104,7,,Ben Roethlisberger,PIT,QB14,7,70,157,109.4,18.6,113,9
105,7,,Anthony Miller,CHI,WR43,6,79,176,109.8,18.6,135,30
106,7,,Keke Coutee,HOU,WR44,10,73,219,108.2,21.8,112,6
107,7,,Dak Prescott,DAL,QB15,8,69,189,114.4,18.9,127,20
108,7,,DeSean Jackson,PHI,WR45,10,73,219,117.3,22.3,122,14
109,7,,Lamar Jackson,BAL,QB16,8,59,188,117.7,21.8,132,23
110,7,,Golden Tate,NYG,WR46,11,65,216,114.6,28.2,126,16
111,7,,Delanie Walker,TEN,TE12,11,72,299,123.9,28.9,134,23
112,7,,Philip Rivers,LAC,QB17,12,82,173,120.5,19.2,121,9
113,7,,Darrell Henderson,LAR,RB38,9,50,294,117.8,38.3,85,-28
114,7,,LeSean McCoy,BUF,RB39,6,76,276,119.2,31,103,-11
115,7,,Trey Burton,CHI,TE13,6,72,222,125.1,21.7,128,13
116,7,,Marquez Valdes-Scantling,GB,WR47,11,60,223,122.6,28.4,111,-5
117,7,,Dion Lewis,TEN,RB40,11,84,266,127.8,26.7,155,38
118,7,,Ronald Jones II,TB,RB41,7,76,245,123.9,27.4,104,-14
119,7,,Kirk Cousins,MIN,QB18,12,76,233,129.1,25.4,150,31
120,7,,Matt Breida,SF,RB42,4,75,234,130,29.1,151,31
121,7,,Michael Gallup,DAL,WR48,8,90,226,126.4,23.2,160,39
122,7,,Devin Funchess,IND,WR49,6,45,198,126.6,27.2,145,23
123,7,,Nyheim Hines,IND,RB43,6,90,245,131.3,24.5,124,1
124,7,,Mitch Trubisky,CHI,QB19,6,68,250,132,25.4,148,24
125,7,,Donte Moncrief,PIT,WR50,7,48,231,132.1,32.7,130,5
126,7,,Emmanuel Sanders,DEN,WR51,10,49,228,132.2,29.8,110,-16
127,7,,Jordan Reed,WAS,TE14,10,77,242,138,26.8,144,17
128,7,,Jack Doyle,IND,TE15,6,94,258,137.3,27.3,175,47
129,7,,Kalen Ballage,MIA,RB44,5,68,240,136.8,28.2,125,-4
130,7,,John Brown,BUF,WR52,6,48,205,137.8,23.3,172,42
131,7,,Tyrell Williams,OAK,WR53,6,77,233,138.5,32.7,141,10
132,7,,Josh Allen,BUF,QB20,6,76,254,140.3,29.6,177,45
133,7,,Peyton Barber,TB,RB45,7,76,274,137.6,33.7,115,-18
134,7,,Adrian Peterson,WAS,RB46,10,73,224,133.5,24.2,137,3
135,7,,DaeSean Hamilton,DEN,WR54,10,80,207,138.4,25.6,204,69
136,7,,N'Keal Harry,NE,WR55,10,45,265,139,35.8,109,-27
137,7,,Tom Brady,NE,QB21,10,79,233,143.7,24.4,123,-14
138,7,,Duke Johnson,HOU,RB47,10,80,237,143.9,31.6,176,38
139,7,,Kyle Rudolph,MIN,TE16,12,94,256,144.7,23.8,139,0
140,7,,Jimmy Garoppolo,SF,QB22,4,94,253,147.1,27.2,159,19
141,7,,Mark Andrews,BAL,TE17,8,69,220,140,31,153,12
142,7,,Ito Smith,ATL,RB48,9,81,293,148.3,32,143,1
143,7,,James Washington,PIT,WR56,7,65,267,144.5,41,119,-24
144,7,,Jerick McKinnon,SF,RB49,4,57,284,140.6,40.4,120,-24
145,7,,Kenny Stills,MIA,WR57,5,62,204,141.3,27.8,197,52
146,8,,Jamison Crowder,NYJ,WR58,4,99,229,150.5,27.4,179,33
147,8,,Jimmy Graham,GB,TE18,11,63,267,151.4,36.6,154,7
148,8,,Greg Olsen,CAR,TE19,7,80,307,148.3,33.8,142,-6
149,8,,Jaylen Samuels,PIT,RB50,7,84,310,159.4,41.3,117,-32
150,8,,Carlos Hyde,KC,RB51,12,79,312,151.6,35.3,131,-19
151,8,,Damien Harris,NE,RB52,10,84,309,161.5,46.1,129,-22
152,8,,Matthew Stafford,DET,QB23,5,105,262,166.4,24.4,188,36
153,8,,Dallas Goedert,PHI,TE20,10,121,273,170.3,31.1,187,34
154,8,,Chris Herndon IV,NYJ,TE21,4,92,242,159.5,30.9,178,24
155,8,,D.K. Metcalf,SEA,WR59,11,101,286,156.4,39,114,-41
156,8,,Robert Foster,BUF,WR60,6,90,262,165.2,40.3,243,87
157,8,,Sam Darnold,NYJ,QB24,4,102,296,169.1,30.9,183,26
158,8,,Chris Thompson,WAS,RB53,10,114,279,170.9,27.2,194,36
159,8,,Derek Carr,OAK,QB25,6,109,259,171.9,27.5,186,27
160,8,,Mohamed Sanu,ATL,WR61,9,87,266,168.4,33.6,185,25
161,8,,Albert Wilson,MIA,WR62,5,79,265,168.6,32.4,219,58
162,8,,Kareem Hunt,CLE,RB54,7,111,292,173.1,35.5,98,-64
163,8,,Tre'Quan Smith,NO,WR63,9,112,231,173.8,25.4,182,19
164,8,,Chicago (CHI),,DST1,6,113,245,149.4,23.7,86,-78
165,8,,Marquise Goodwin,SF,WR64,4,96,327,167.1,39.5,216,51
166,8,,Devante Parker,MIA,WR65,5,85,276,175.8,33.9,201,35
167,8,,Quincy Enunwa,NYJ,WR66,4,105,258,180.3,30.8,280,113
168,8,,Parris Campbell,IND,WR67,6,98,292,172.1,37.4,152,-16
169,8,,Adam Humphries,TEN,WR68,11,108,258,178.3,35.5,198,29
170,8,,T.J. Hockenson,DET,TE22,5,102,291,175,41.5,138,-32
171,8,,Devin Singletary,BUF,RB55,6,88,317,176,43.3,147,-24
172,8,,C.J. Anderson,DET,RB56,5,123,312,176.8,34.6,195,23
173,8,,Andy Dalton,CIN,QB26,9,99,267,181.5,27.2,237,64
174,8,,Jamaal Williams,GB,RB57,11,123,317,174.2,32.6,205,31
175,8,,Giovani Bernard,CIN,RB58,9,141,289,186.7,27.2,221,46
176,8,,Noah Fant,DEN,TE23,10,71,271,180,37.1,169,-7
177,8,,Justin Jackson,LAC,RB59,12,106,309,191.1,48.8,166,-11
178,8,,Mike Gesicki,MIA,TE24,5,120,266,190.1,36.7,227,49
179,9,,Jacksonville (JAC),,DST2,10,130,268,157.8,23,136,-43
180,9,,Zay Jones,BUF,WR69,6,85,286,192.6,39.1,239,59
181,9,,Los Angeles (LAR),,DST3,9,135,230,163.4,18.6,99,-82
182,9,,Greg Zuerlein,LAR,K1,9,135,274,177.2,20.1,106,-76
183,9,,Justice Hill,BAL,RB60,8,86,315,189.4,53,171,-12
184,9,,Minnesota (MIN),,DST4,12,142,266,166.6,20.1,146,-38
185,9,,Baltimore (BAL),,DST5,8,135,277,166.6,24.5,156,-29
186,9,,Deebo Samuel,SF,WR70,4,111,312,184,37.8,209,23
187,9,,Nick Foles,JAC,QB27,10,107,302,196.5,34.6,202,15
188,9,,David Moore,SEA,WR71,11,111,263,194,31,284,96
189,9,,Marcus Mariota,TEN,QB28,11,91,294,198.2,31.7,193,4
190,9,,Mike Davis,CHI,RB61,6,123,315,188.1,37,234,44
191,9,,Los Angeles (LAC),,DST6,12,137,270,166.3,17.6,140,-51
192,9,,Taylor Gabriel,CHI,WR72,6,107,285,205.2,27,270,78
193,9,,Houston (HOU),,DST7,10,151,267,175.2,22.4,168,-25
194,9,,Randall Cobb,DAL,WR73,8,111,303,207.6,29.2,189,-5
195,9,,Marqise Lee,JAC,WR74,10,102,300,199,35.8,253,58
196,9,,Justin Tucker,BAL,K2,8,129,273,184,17.9,133,-63
197,9,,Jalen Richard,OAK,RB62,6,104,316,203.8,38.6,200,3
198,9,,Harrison Butker,KC,K3,12,152,218,185.3,12.8,149,-49
199,9,,Cleveland (CLE),,DST8,7,151,242,183.7,20.5,162,-37
200,9,,Tyler Eifert,CIN,TE25,9,127,303,209.1,39.3,199,-1
201,9,,Stephen Gostkowski,NE,K4,10,144,274,189.5,15.6,165,-36
202,9,,Antonio Callaway,CLE,WR75,7,128,327,211.5,35.7,238,36
203,9,,Marquise Brown,BAL,WR76,8,97,270,193.6,38.7,167,-36
204,9,,Chase Edmonds,ARI,RB63,12,120,272,212.5,35.5,259,55
205,9,,New Orleans (NO),,DST9,9,153,271,193.9,21.9,184,-21
206,9,,Trey Quinn,WAS,WR77,10,100,285,198.5,44.6,282,76
207,9,,Rex Burkhead,NE,RB64,10,112,323,206.5,42.1,252,45
208,9,,Ted Ginn,NO,WR78,9,109,316,218.4,37.3,226,18
209,9,,Gerald Everett,LAR,TE26,9,141,328,210.1,38.9,265,56
210,9,,John Ross,CIN,WR79,9,128,328,214.5,29.8,274,64
211,9,,Mecole Hardman,KC,WR80,12,109,361,203.4,46.8,163,-48
212,9,,Wil Lutz,NO,K5,9,162,275,200.4,16.2,161,-51
213,9,,A.J. Brown,TEN,WR81,11,147,311,202.9,30.5,203,-10
214,9,,Andy Isabella,ARI,WR82,12,116,314,214.9,39.9,228,14
215,9,,Nelson Agholor,PHI,WR83,10,139,292,215.7,28.3,231,16
216,9,,Denver (DEN),,DST10,10,149,239,197.6,14.9,157,-59
217,9,,Alexander Mattison,MIN,RB65,12,132,330,202,48.2,170,-47
218,9,,New England (NE),,DST11,10,140,272,208.5,14.2,181,-37
219,9,,Gus Edwards,BAL,RB66,8,116,356,212.6,44.8,258,39
220,9,,Joe Flacco,DEN,QB29,10,162,310,237.5,37.8,240,20
221,9,,Paul Richardson,WAS,WR84,10,130,342,224.7,36.4,295,74
222,9,,Buffalo (BUF),,DST12,6,150,266,206.7,17.5,220,-2
223,9,,Frank Gore,BUF,RB67,6,130,326,227.3,39,267,44
224,9,,Josh Doctson,WAS,WR85,10,129,314,224.3,34.7,326,102
225,9,,Ka'imi Fairbairn,HOU,K6,10,138,278,206.6,20.4,174,-51
226,9,,Malcolm Brown,LAR,RB68,9,126,405,226.2,48.6,292,66
227,9,,Mason Crosby,GB,K7,11,168,277,215.2,16.9,214,-13
228,9,,Dallas (DAL),,DST13,8,169,250,211.9,13.8,180,-48
229,9,,Jake Elliott,PHI,K8,10,170,280,218.5,16.2,208,-21
230,9,,D.J. Chark,JAC,WR86,10,96,339,233.3,32.7,319,89
231,10,,Seattle (SEA),,DST14,11,184,276,223.3,16.2,222,-9
232,10,,Philadelphia (PHI),,DST15,10,166,322,225.2,21.4,173,-59
233,10,,Elijah McGuire,NYJ,RB69,4,112,347,225.9,45.6,297,64
234,10,,Robbie Gould,SF,K9,4,168,286,227,21.8,164,-70
235,10,,T.J. Yeldon,BUF,RB70,6,116,388,230.8,44.1,250,15
236,10,,D'Onta Foreman,IND,RB71,6,100,510,195.3,77,158,-78
237,10,,Brett Maher,DAL,K10,8,177,287,224.5,19,192,-45
238,10,,Matt Prater,DET,K11,5,179,289,225.6,21,217,-21
239,10,,Michael Badgley,LAC,K12,12,174,314,231.4,21.1,210,-29
240,10,,Cole Beasley,BUF,WR87,6,129,332,241.2,39.3,246,6
241,10,,Pittsburgh (PIT),,DST16,7,186,299,232.8,19,218,-23
242,10,,Adam Vinatieri,IND,K13,6,172,313,237.7,18.3,206,-36
243,10,,Tennessee (TEN),,DST17,11,188,276,230.9,18.5,229,-14
244,10,,Kenneth Dixon,BAL,RB72,8,104,348,234.1,55.5,327,83
245,10,,Danny Amendola,DET,WR88,5,129,358,242.1,39.3,266,21
246,10,,Cameron Brate,TB,TE27,7,153,343,239.2,35.6,294,48
247,10,,Josh Reynolds,LAR,WR89,9,192,368,246.3,31.5,338,91
248,10,,Ian Thomas,CAR,TE28,7,161,348,239.9,37.1,256,8
249,10,,Eli Manning,NYG,QB30,11,138,350,249.8,31.7,249,0
250,10,,Willie Snead,BAL,WR90,8,123,285,236.4,29.7,302,52
251,10,,Indianapolis (IND),,DST18,6,186,307,240.8,24.4,224,-27
252,10,,Jason Myers,SEA,K14,11,185,323,244.8,21.4,223,-29
253,10,,Ryquell Armstead,JAC,RB73,10,133,333,241.5,48.8,263,10
254,10,,Equanimeous St. Brown,GB,WR91,11,178,332,248.6,33,337,83
255,10,,Ricky Seals-Jones,ARI,TE29,12,141,339,247.2,38,325,70
256,10,,Kansas City (KC),,DST19,12,167,309,247.3,27.8,190,-66
257,10,,Hayden Hurst,BAL,TE30,8,180,349,247.9,29.2,310,53
258,10,,Keelan Cole,JAC,WR92,10,82,341,252.7,32,347,89
259,10,,Jason Witten,DAL,TE31,8,118,334,234.7,39.9,196,-63
260,10,,Theo Riddick,DEN,RB74,10,143,359,247.2,40.5,288,28
261,10,,Doug Martin,OAK,RB75,6,123,317,247.4,36,323,62
262,10,,Dwayne Haskins,WAS,QB31,10,162,327,251.4,39.7,213,-49
263,10,,Phillip Dorsett,NE,WR93,10,177,358,255.4,38.1,291,28
264,10,,Graham Gano,CAR,K15,7,189,315,251.3,21.6,260,-4
265,10,,Ryan Fitzpatrick,MIA,QB32,5,173,395,265.9,44,264,-1
266,10,,Aldrick Rosas,NYG,K16,11,185,300,254.4,19.3,225,-41
267,10,,Dan Bailey,MIN,K17,12,184,318,260.6,24.8,215,-52
268,10,,Chris Conley,JAC,WR94,10,174,371,258.2,33.8,380,112
269,10,,Darren Waller,OAK,TE32,6,127,284,207.8,43.7,233,-36
270,10,,Carolina (CAR),,DST20,7,198,298,258.3,21.2,244,-26
271,10,,J.J. Arcega-Whiteside,PHI,WR95,10,148,315,249.9,35.6,269,-2
272,10,,Ryan Succop,TEN,K18,11,201,323,271.8,22.3,251,-21
273,10,,Tony Pollard,DAL,RB76,8,118,361,227.2,59.4,211,-62
274,10,,Josh Rosen,MIA,QB33,5,128,388,275.5,43.4,268,-6
275,10,,Green Bay (GB),,DST21,11,171,318,268.4,26.6,230,-45
276,10,,Atlanta (ATL),,DST22,9,172,317,266.1,24.7,245,-31
