Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Ty Montgomery,NYJ,49.8,161.5,1.2,16.9,138.3,0.6,0.8,47.4
T.J. Yeldon,BUF,41.2,158.7,0.8,17.3,146.5,0.5,0.2,46.9
Zach Zenner,DET,36.3,217.4,1.8,10.3,79.5,0.2,0.2,46.5
Dontrell Hilliard,CLE,40.3,145.5,0.9,16.3,157.3,0.5,0.5,45.5
Elijah McGuire,NYJ,38.4,146.4,1,14.3,129,0.7,0.5,43.8
Malcolm Brown,LAR,60.9,232.2,1.5,8.2,57.8,0.2,0.3,42.2
Corey Clement,PHI,38.3,172.9,1.3,11.2,96.9,0.4,0.4,41.7
Wayne Gallman,NYG,53.8,210.2,1.3,11.3,80.6,0.1,1,41.4
Darwin Thompson,KC,31.2,137,1.2,11.3,111.8,0.6,0.6,40.6
Ryquell Armstead,JAC,45.1,181.8,1.2,9.8,80.5,0.3,0.3,39.6
Bryce Love,WAS,40.2,168.9,1.1,8.6,77.4,0.6,0.5,37.9
Kyle Juszczyk,SF,7.2,26.5,0.3,20.8,192.5,0.8,0.8,37.4
J.D. McKissic,SEA,28.7,108.2,0.6,13.4,107.6,1,0.4,37.4
Cameron Artis-Payne,CAR,45.6,204.5,1.5,5.1,39.9,0.1,0.4,36
Reggie Bonnafon,CAR,0,137,1,11.4,85,0.4,0.2,35.9
Myles Gaskin,MIA,29.6,140.6,0.8,11.4,89.5,0.4,0.2,35.6
Darrel Williams,KC,22.7,88.7,0.9,9.2,86.6,0.9,0.4,31.9
Rodney Anderson,CIN,27.5,126.5,1,7.5,65,0.5,0.5,30.9
Jacquizz Rodgers,NO,11.6,70.3,0.4,13.2,113.1,0.6,0,30.8
Darren Sproles,PHI,22.8,75.8,0.5,11.7,99.1,0.6,0.1,30
Alfred Morris,DAL,28.8,156.9,1,5.8,42.3,0.1,0.2,28.9
Dexter Williams,GB,28,121.4,0.9,6.9,53.5,0.3,0.2,27.9
Benny Snell Jr.,PIT,36.3,142.5,0.9,6.2,54.2,0.2,0.6,27.8
Devontae Booker,DEN,28.2,113.2,0.6,9.6,79.5,0.1,0.7,27.1
Wendell Smallwood,PHI,23.8,104.5,0.8,8.6,63.9,0.1,0,26.3
Benny Cunningham,JAC,17.9,75.9,0.4,11.3,93,0.3,0.3,26.3
D'Onta Foreman,IND,34.3,130.7,0.9,4.1,44.3,0.4,0.5,26
Brian Hill,ATL,30.7,120.4,0.7,6.9,47.3,0.2,0.1,25.2
Qadree Ollison,ATL,32.2,127.6,0.9,4.3,34.8,0.2,0.2,24.8
