"Unemployment, total (% of labour force)"
"176"," Congo (Democratic Republic of the)","3.6","","3.7","","3.6","","3.7","","3.7","","3.7","","3.7","","3.7","","3.7","","3.7","","3.7","","3.7","a"
"63"," Costa Rica","5.4","","5.2","","5.1","","6.6","","8.9","","10.2","","9.9","","9.0","","9.1","","9.3","","9.0","","8.5","a"
"46"," Croatia","11.1","","10.9","","16.1","","12.6","","11.6","","13.7","","15.9","","17.3","","17.3","","16.2","","13.1","","10.8","a"
"73"," Cuba","9.7","","8.3","","5.4","","1.9","","2.5","","3.2","","3.5","","3.3","","2.7","","2.4","","2.4","","2.6","a"
"32"," Cyprus","2.8","","3.6","","5.0","","5.3","","6.3","","7.9","","11.8","","15.9","","16.1","","14.9","","13.0","","10.8","a"
"27"," Czechia","2.3","","4.0","","8.8","","7.9","","7.3","","6.7","","7.0","","7.0","","6.1","","5.1","","4.0","","3.1","a"
"170"," Côte d'Ivoire","6.7","","4.1","","3.9","","3.5","","3.1","","3.0","","2.9","","2.8","","2.8","","2.7","","2.6","","2.6","a"
"11"," Denmark","9.1","","7.0","","4.5","","4.8","","7.5","","7.6","","7.5","","7.0","","6.6","","6.2","","6.2","","5.9","a"
"172"," Djibouti","6.9","","6.8","","6.6","","6.4","","6.2","","6.2","","6.1","","6.0","","5.9","","5.9","","5.8","","5.8","a"
"94"," Dominican Republic","7.6","","7.0","","7.0","","6.5","","5.0","","5.8","","6.5","","7.1","","6.4","","5.9","","5.5","","5.5","a"
"86"," Ecuador","5.8","","6.9","","9.0","","7.7","","4.1","","3.5","","3.2","","3.1","","3.5","","3.6","","4.6","","4.9","a"
"115"," Egypt","9.6","","11.3","","9.0","","11.2","","11.9","","11.9","","12.6","","13.2","","13.1","","13.1","","12.4","","12.1","a"
"121"," El Salvador","7.5","","7.7","","7.0","","7.2","","4.9","","4.3","","3.9","","3.7","","4.2","","4.0","","4.4","","4.5","a"
"141"," Equatorial Guinea","5.7","","5.7","","5.8","","5.8","","5.6","","5.6","","5.6","","5.5","","5.5","","5.5","","6.2","","6.9","a"
"179"," Eritrea","6.7","","6.9","","7.0","","7.0","","6.8","","6.8","","6.7","","6.6","","6.6","","6.6","","6.5","","6.4","a"
"30"," Estonia","1.5","","9.7","","13.4","","8.0","","16.7","","12.3","","10.0","","8.6","","7.4","","6.2","","6.8","","6.8","a"
"144"," Eswatini (Kingdom of)","22.0","","21.7","","22.3","","22.1","","27.8","","27.5","","27.2","","26.9","","26.6","","26.3","","26.4","","26.4","a"
"173"," Ethiopia","3.1","","4.2","","8.2","","5.4","","5.2","","5.2","","5.1","","5.0","","5.0","","5.0","","5.1","","5.2","a"
"92"," Fiji","5.9","","5.4","","7.5","","4.6","","8.9","","9.0","","9.0","","7.6","","6.2","","6.1","","6.2","","6.3","a"
"15"," Finland","6.5","","17.0","","11.1","","8.4","","8.4","","7.8","","7.7","","8.2","","8.7","","9.4","","8.8","","8.7","a"
"24"," France","9.1","","11.8","","10.2","","8.5","","8.9","","8.8","","9.4","","9.9","","10.3","","10.4","","10.1","","9.7","a"
"110"," Gabon","17.7","","17.7","","17.2","","16.9","","20.4","","20.3","","20.3","","20.3","","20.2","","20.2","","19.8","","19.6","a"
"174"," Gambia","9.1","","9.2","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.5","a"
"70"," Georgia","9.7","","12.2","","10.8","","13.8","","16.3","","15.1","","15.0","","14.6","","12.4","","12.0","","11.8","","11.6","a"
"5"," Germany","5.3","","8.2","","7.9","","11.2","","7.0","","5.8","","5.4","","5.2","","5.0","","4.6","","4.1","","3.7","a"
"140"," Ghana","4.7","","6.5","","10.4","","4.7","","5.3","","4.5","","3.6","","2.2","","2.2","","2.2","","2.3","","2.4","a"
"31"," Greece","7.7","","9.1","","11.3","","10.0","","12.7","","17.9","","24.4","","27.5","","26.5","","24.9","","23.5","","21.4","a"
"127"," Guatemala","3.2","","2.5","","1.4","","2.5","","3.7","","4.1","","2.9","","3.3","","2.9","","2.7","","2.8","","2.7","a"
